R,G,B,ColorName
240,128,128,Light Coral
72,61,139,Dark Slate Blue
210,105,30,Chocolate
255,160,122,Light Salmon
135,206,250,Light Sky Blue
119,136,153,Light Slate Gray
255,228,181,Moccasin
152,251,152,Pale Green
65,105,225,Royal Blue
139,69,19,Saddle Brown
46,139,87,Sea Green
160,82,45,Sienna
106,90,205,Slate Blue
112,128,144,Slate Gray
210,180,140,Tan
216,191,216,Thistle
255,99,71,Tomato
238,130,238,Violet
154,205,50,Yellow Green
189,183,107,Dark Khaki
85,107,47,Dark Olive Green
255,140,0,Dark Orange
153,50,204,Dark Orchid
139,0,139,Dark Magenta
233,150,122,Dark Salmon
143,188,143,Dark Sea Green
47,79,79,Dark Slate Grey
0,206,209,Dark Turquoise
148,0,211,Dark Violet
184,134,11,Dark Goldenrod
169,169,169,Dark Grey
105,105,105,Dim Grey
178,34,34,Firebrick
220,220,220,Gainsboro
248,248,255,Ghost White
30,144,255,Dodger Blue
255,20,147,Deep Pink
0,191,255,Deep Sky Blue
70,130,180,Steel Blue
240,128,128,Light Coral
72,61,139,Dark Slate Blue
210,105,30,Chocolate
255,160,122,Light Salmon
135,206,250,Light Sky Blue
119,136,153,Light Slate Gray
255,228,181,Moccasin
152,251,152,Pale Green
65,105,225,Royal Blue
139,69,19,Saddle Brown
46,139,87,Sea Green
160,82,45,Sienna
106,90,205,Slate Blue
112,128,144,Slate Gray
210,180,140,Tan
216,191,216,Thistle
255,99,71,Tomato
238,130,238,Violet
154,205,50,Yellow Green
189,183,107,Dark Khaki
85,107,47,Dark Olive Green
255,140,0,Dark Orange
153,50,204,Dark Orchid
139,0,139,Dark Magenta
233,150,122,Dark Salmon
143,188,143,Dark Sea Green
47,79,79,Dark Slate Grey
0,206,209,Dark Turquoise
148,0,211,Dark Violet
184,134,11,Dark Goldenrod
169,169,169,Dark Grey
105,105,105,Dim Grey
178,34,34,Firebrick
220,220,220,Gainsboro
248,248,255,Ghost White
30,144,255,Dodger Blue
255,20,147,Deep Pink
0,191,255,Deep Sky Blue
70,130,180,Steel Blue
240,128,128,Light Coral
72,61,139,Dark Slate Blue
210,105,30,Chocolate
255,160,122,Light Salmon
135,206,250,Light Sky Blue
119,136,153,Light Slate Gray
255,228,181,Moccasin
152,251,152,Pale Green
65,105,225,Royal Blue
139,69,19,Saddle Brown
46,139,87,Sea Green
160,82,45,Sienna
106,90,205,Slate Blue
112,128,144,Slate Gray
210,180,140,Tan
216,191,216,Thistle
255,99,71,Tomato
238,130,238,Violet
154,205,50,Yellow Green
0,0,128,Navy
253,245,230,Old Lace
107,142,35,Olive Drab
218,112,214,Orchid
238,232,170,Pale Goldenrod
152,251,152,Pale Green
175,238,238,Pale Turquoise
219,112,147,Pale Violet Red
255,239,213,Papaya Whip
255,218,185,Peach Puff
205,133,63,Peru
221,160,221,Plum
176,224,230,Powder Blue
188,143,143,Rosy Brown
65,105,225,Royal Blue
139,69,19,Saddle Brown
250,128,114,Salmon
244,164,96,Sandy Brown
46,139,87,Sea Green
255,245,238,Seashell
160,82,45,Sienna
135,206,235,Sky Blue
106,90,205,Slate Blue
112,128,144,Slate Gray
255,250,250,Snow
250,240,230,Linen
255,0,255,Fuchsia
60,179,113,Medium Sea Green
123,104,238,Medium Slate Blue
0,250,154,Medium Spring Green
72,209,204,Medium Turquoise
199,21,133,Medium Violet Red
25,25,112,Midnight Blue
245,255,250,Mint Cream
255,228,225,Misty Rose
255,228,181,Moccasin
255,222,173,Navajo White
0,0,128,Navy
253,245,230,Old Lace
107,142,35,Olive Drab
218,112,214,Orchid
238,232,170,Pale Goldenrod
152,251,152,Pale Green
175,238,238,Pale Turquoise
219,112,147,Pale Violet Red
255,239,213,Papaya Whip
255,218,185,Peach Puff
205,133,63,Peru
221,160,221,Plum
176,224,230,Powder Blue
188,143,143,Rosy Brown
65,105,225,Royal Blue
139,69,19,Saddle Brown
250,128,114,Salmon
244,164,96,Sandy Brown
46,139,87,Sea Green
255,245,238,Seashell
160,82,45,Sienna
135,206,235,Sky Blue
106,90,205,Slate Blue
112,128,144,Slate Gray
255,250,250,Snow
250,240,230,Linen
255,0,255,Fuchsia
60,179,113,Medium Sea Green
123,104,238,Medium Slate Blue
0,250,154,Medium Spring Green
72,209,204,Medium Turquoise
199,21,133,Medium Violet Red
25,25,112,Midnight Blue
245,255,250,Mint Cream
255,228,225,Misty Rose
255,228,181,Moccasin
255,222,173,Navajo White
